date,num words
1913-5,139
1913-6,139
1913-7,139
1913-9,139
1913-10,139
1913-11,139
1913-12,139
1915-12,272
1916-2,122
1916-3,167
1916-4,298
1916-5,140
1916-6,113
1916-7,184
1916-8,153
1916-9,112
1916-10,255
1916-11,289
1916-12,275
1917-2,100
1917-4,40
1919-4,330
1919-5,521
1919-6,350
1919-7,336
1919-8,617
1919-9,417
1919-10,225
1919-11,506
1919-12,604
1920-1,558
1920-2,592
1920-3,654
1920-4,575
1920-5,529
1920-6,469
1920-7,407
1920-8,302
1920-9,292
1920-10,305
1920-11,430
1920-12,218
1921-1,289
1921-2,297
1921-3,292
1921-4,117
1921-5,342
1921-6,463
1921-7,509
1921-8,510
1921-9,359
1921-10,229
1922-6,69
1922-11,91
1922-12,91
1923-9,101
1923-11,178
1924-4,46
1924-5,105
1924-8,175
1924-9,52
1927-9,38
1927-10,87
1931-6,145
1939-1,85
1939-8,118
1943-7,104
1944-12,146
1946-12,73
1948-7,29
1948-8,45
1948-12,205
1949-1,1008
1949-2,1333
1949-3,1582
1949-4,1921
1949-5,1560
1949-6,772
1949-7,605
1949-8,1608
1949-9,1493
1949-10,2043
1949-11,3562
1949-12,1658
1950-1,1387
1950-2,2478
1950-3,1548
1950-4,1396
1950-5,1289
1950-6,1149
1950-7,634
1950-8,1471
1950-9,1103
1950-10,1993
1950-11,1580
1950-12,2383
1951-1,1057
1951-2,1478
1951-3,1255
1951-4,1191
1951-5,887
1951-6,572
1951-7,1318
1951-8,902
1951-9,1103
1951-10,1402
1951-11,1332
1951-12,1398
1952-1,1404
1952-2,1286
1952-3,1561
1952-4,1286
1952-5,1329
1952-6,1222
1952-7,1319
1952-8,1154
1952-9,1028
1952-10,1279
1952-11,1638
1952-12,1916
1953-1,1373
1953-2,1142
1953-3,1466
1953-4,1961
1953-5,1728
1953-6,1061
1953-7,1776
1953-8,1683
1953-9,1293
1953-10,1665
1953-11,1863
1953-12,1357
1954-1,1619
1954-2,1499
1954-3,1627
1954-4,1524
1954-5,1513
1954-6,903
1954-7,871
1954-8,1526
1954-9,1663
1954-10,1097
1954-11,1480
1954-12,1123
1955-1,1417
1955-2,1248
1955-3,1257
1955-4,1070
1955-5,794
1955-6,914
1955-7,832
1955-8,603
1955-9,1256
1955-11,1832
1955-12,1422
1956-1,1273
1956-2,1163
1956-3,1876
1956-4,1795
1956-5,1175
1956-6,1321
1956-7,1209
1956-8,1896
1956-9,1348
1956-10,1686
1956-11,2127
1956-12,1519
1957-1,1721
1957-2,912
1957-3,4036
1957-4,1398
1957-5,1768
1957-6,4389
1957-7,921
1957-8,1136
1957-9,4726
1957-10,1718
1957-11,1197
1957-12,5533
1958-1,2188
1958-2,2329
1958-3,4328
1958-4,1760
1958-5,636
1958-6,3531
1958-7,1595
1958-8,1936
1958-9,5826
1958-10,2272
1958-11,3956
1958-12,6853
1959-1,3276
1959-2,3184
1959-3,6013
1959-4,3459
1959-5,3238
1959-6,7086
1959-7,2760
1959-8,2542
1959-9,4979
1959-10,2577
1959-11,3128
1959-12,5439
1960-1,4364
1960-2,2827
1960-3,10795
1960-4,2594
1960-5,4053
1960-6,7414
1960-7,4267
1960-8,2354
1960-9,6851
1960-10,2185
1960-11,4849
1960-12,7869
1961-1,4937
1961-2,3966
1961-3,7605
1961-4,3654
1961-5,4830
1961-6,6995
1961-7,12305
1961-8,10598
1961-9,14107
1961-10,9124
1961-11,14337
1961-12,12980
1962-1,16175
1962-2,11467
1962-3,17522
1962-4,14608
1962-5,15015
1962-6,12688
1962-7,13573
1962-8,12337
1962-9,17000
1962-10,18463
1962-11,16310
1962-12,13398
1963-1,18139
1963-2,12577
