date,num words
1913-5,78
1913-6,78
1913-7,78
1913-9,78
1913-10,78
1913-11,78
1913-12,78
1915-12,164
1916-2,84
1916-3,112
1916-4,175
1916-5,92
1916-6,68
1916-7,110
1916-8,94
1916-9,76
1916-10,141
1916-11,152
1916-12,148
1917-2,63
1917-4,35
1919-4,176
1919-5,261
1919-6,204
1919-7,203
1919-8,310
1919-9,237
1919-10,130
1919-11,269
1919-12,304
1920-1,285
1920-2,315
1920-3,338
1920-4,315
1920-5,273
1920-6,252
1920-7,227
1920-8,180
1920-9,170
1920-10,185
1920-11,234
1920-12,146
1921-1,170
1921-2,187
1921-3,178
1921-4,81
1921-5,192
1921-6,243
1921-7,275
1921-8,269
1921-9,198
1921-10,127
1922-6,51
1922-11,61
1922-12,61
1923-9,73
1923-11,92
1924-4,33
1924-5,66
1924-8,92
1924-9,29
1927-9,26
1927-10,62
1931-6,71
1939-1,55
1939-8,82
1943-7,66
1944-12,90
1946-12,52
1948-7,23
1948-8,33
1948-12,107
1949-1,458
1949-2,574
1949-3,627
1949-4,724
1949-5,615
1949-6,362
1949-7,302
1949-8,615
1949-9,582
1949-10,751
1949-11,1113
1949-12,640
1950-1,607
1950-2,848
1950-3,604
1950-4,578
1950-5,530
1950-6,500
1950-7,299
1950-8,598
1950-9,470
1950-10,754
1950-11,643
1950-12,843
1951-1,452
1951-2,585
1951-3,517
1951-4,525
1951-5,420
1951-6,289
1951-7,521
1951-8,415
1951-9,478
1951-10,572
1951-11,548
1951-12,552
1952-1,588
1952-2,529
1952-3,617
1952-4,517
1952-5,547
1952-6,498
1952-7,504
1952-8,492
1952-9,431
1952-10,529
1952-11,668
1952-12,777
1953-1,556
1953-2,528
1953-3,628
1953-4,746
1953-5,668
1953-6,466
1953-7,671
1953-8,648
1953-9,534
1953-10,644
1953-11,721
1953-12,566
1954-1,633
1954-2,666
1954-3,674
1954-4,651
1954-5,631
1954-6,437
1954-7,386
1954-8,579
1954-9,643
1954-10,466
1954-11,628
1954-12,501
1955-1,634
1955-2,532
1955-3,514
1955-4,475
1955-5,346
1955-6,421
1955-7,382
1955-8,282
1955-9,530
1955-11,730
1955-12,586
1956-1,541
1956-2,499
1956-3,699
1956-4,775
1956-5,517
1956-6,541
1956-7,484
1956-8,709
1956-9,537
1956-10,695
1956-11,848
1956-12,650
1957-1,711
1957-2,434
1957-3,1194
1957-4,587
1957-5,689
1957-6,1299
1957-7,392
1957-8,474
1957-9,1339
1957-10,677
1957-11,483
1957-12,1460
1958-1,852
1958-2,873
1958-3,1255
1958-4,690
1958-5,305
1958-6,1142
1958-7,667
1958-8,761
1958-9,1567
1958-10,888
1958-11,1384
1958-12,1890
1959-1,1244
1959-2,1202
1959-3,1727
1959-4,1240
1959-5,1188
1959-6,1917
1959-7,1106
1959-8,1039
1959-9,1576
1959-10,1035
1959-11,1126
1959-12,1619
1960-1,1424
1960-2,1146
1960-3,2563
1960-4,1048
1960-5,1374
1960-6,2033
1960-7,1407
1960-8,909
1960-9,1860
1960-10,857
1960-11,1491
1960-12,2246
1961-1,1595
1961-2,1332
1961-3,2137
1961-4,1255
1961-5,1617
1961-6,1870
1961-7,2812
1961-8,2681
1961-9,3128
1961-10,2333
1961-11,3216
1961-12,2799
1962-1,3375
1962-2,2739
1962-3,3632
1962-4,3122
1962-5,3317
1962-6,2879
1962-7,3004
1962-8,2928
1962-9,3557
1962-10,3685
1962-11,3424
1962-12,2983
1963-1,3574
1963-2,2921
1963-3,3597
1963-4,3712
1963-5,3774
1963-6,3395
1963-7,3135
1963-8,2890
1963-9,3921
1963-10,3635
1963-11,3652
1963-12,3412
1964-1,4855
1964-2,3289
1964-3,3838
1964-4,3275
1964-5,4108
1964-6,3288
1964-7,4546
1964-8,3830
1964-9,3967
1964-10,4482
1964-11,4246
1964-12,3381
1965-1,5063
1965-2,3856
1965-3,5302
1965-4,4464
1965-5,4761
1965-6,3554
1965-7,5336
1965-8,4002
1965-9,5655
1965-10,4188
1965-11,5454
1965-12,4253
1966-1,6881
1966-2,4684
1966-3,7328
1966-4,4941
1966-5,6457
1966-6,4748
1966-7,5787
1966-8,3447
1966-9,5649
1966-10,5250
1966-11,6154
1966-12,3649
1967-1,6440
1967-2,5189
1967-3,5993
1967-4,5398
1967-5,6292
1967-6,5647
1967-7,6488
1967-8,5028
1967-9,6613
1967-10,6216
1967-11,6712
1967-12,4569
1968-1,6776
1968-2,5843
1968-3,6939
