word,term frequency
's,0
a,24684960
about,699569
above,193883
according,268716
across,187818
actually,27598
adj,1142
after,3347536
afterwards,6838
again,59174
against,582597
all,2163762
almost,176365
alone,322696
along,177634
already,71073
also,2240456
although,781715
always,83954
am,42012
among,863229
amongst,17876
an,5383885
and,48754415
another,189517
any,547126
anyhow,129
anyone,1227
anything,1867
anywhere,1925
are,5468596
around,139231
as,6806319
at,5902842
b,863192
be,5415805
became,104865
because,600092
become,146904
becomes,47049
becoming,30203
been,2464508
before,654545
beforehand,1274
begin,17472
behind,20388
being,397836
below,131425
beside,4117
besides,32906
between,2872215
beyond,59415
both,2527682
but,2754804
by,10820613
c,1306294
can,1763951
cannot,112197
caption,41
co,100276
co.,0
could,944761
could,944761
d,558111
did,1050648
do,278114
does,332303
down,62814
during,2259716
e,757433
each,964222
eg,16318
eight,251956
eight,251956
eighteen,25280
eighty,11527
either,766799
eleven,41235
else,2444
elsewhere,15344
end,254649
ending,6412
enough,39977
etc,26500
even,354591
ever,18761
every,137395
everyone,1911
everything,1041
everywhere,899
except,144661
f,186854
few,228246
fifteen,35304
first,1026983
five,476703
for,12847465
found,1776377
four,710713
fourteen,31366
from,6951500
further,679509
g,721199
go,21286
h,1033661
had,2367120
has,2316665
have,3143429
he,101555
hence,64204
her,75168
here,428280
hereafter,1772
hereby,1560
herein,32880
hereupon,9
hers,483
herself,1340
him,6115
himself,2855
his,116860
how,244406
however,1394628
hundred,114438
i,1243827
i,1243827
ie,25616
if,496021
in,41932379
inc.,0
indeed,40901
instead,65826
into,1367095
is,10470003
is,10470003
it,2315054
its,1404961
itself,82004
j,175095
k,279253
l,656550
last,152638
later,219187
latter,141240
latterly,109
least,393072
less,1083944
let,5030
like,121768
likely,341838
ltd,8583
m,663375
made,368575
make,111959
makes,52062
many,496575
may,2379033
maybe,2250
me,23430
meantime,1558
meanwhile,8161
might,332115
miss,2792
more,2022718
moreover,202495
most,1284127
mostly,65199
mr,149477
mrs,10380
much,252351
must,200448
my,7628
myself,228
n,950429
namely,52787
neither,143900
never,54049
nevertheless,51373
next,58941
nine,184009
nine,184009
nineteen,18996
ninety,9213
no,2276754
nobody,311
non,26638
none,143304
nonetheless,11385
noone,6
nor,163713
not,4359937
nothing,5092
now,176299
nowhere,378
o,216291
of,67212430
off,43413
often,310212
on,6851356
once,94420
one,1766330
one,1766330
only,1558061
onto,56117
or,6647673
other,1782531
others,115706
otherwise,43248
our,1099335
ours,1559
ourselves,1196
out,462510
over,761317
overall,388070
own,71097
p,2440318
per,660321
perhaps,40153
q,51078
r,434294
rather,214327
recent,366556
recently,272971
s,1916133
same,674329
seem,79631
seemed,40155
seeming,541
seems,142420
seven,258970
seven,258970
seventeen,21372
several,640626
she,67528
should,639713
should,639713
since,362550
six,408103
sixteen,29401
so,234654
some,826685
somehow,1766
someone,3040
something,3598
sometime,801
sometimes,44892
somewhere,864
still,235743
such,1115487
t,867723
taking,81694
ten,134386
than,3389858
that,11150193
the,82695467
their,1936203
them,278091
themselves,44560
then,389880
thence,387
there,1483233
thereafter,43420
thereby,79771
therefore,432292
therein,1688
thereupon,186
these,4394286
they,823922
thirteen,29036
this,6286163
those,1216974
three,1294735
thus,617753
to,27334199
twelve,52606
twenty,52457
two,2427731
until,154193
was,14821385
we,4428493
were,12809024
what,101145
when,1572875
where,329927
where,329927
which,3252194
who,1093564
why,35492
will,431063
with,17853571
would,316388
yeah,5
you,9641
your,6566
yours,33
yourself,333
yourselves,5
z,54168
