word,first appearance,num months,term frequency,relative term frequency
-1beta,1996-3,164,2712,2.3657850803224205e-06
-5-methyl-10,1986-9,227,567,3.686401746029664e-07
-anchored,1988-6,224,810,5.441947302564685e-07
-azido-3,1984-7,251,845,5.306485262623777e-07
-beta1,1995-9,160,1012,8.616240062104701e-07
-carboxyfluorescein,1984-12,259,826,5.219442634867404e-07
-d,1972-3,384,3362,1.9374604300936483e-06
-deoxyadenosine,1970-12,376,1624,9.35326870749146e-07
-derived,1975-12,332,2989,1.7360026563198679e-06
-dr,1978-10,314,894,5.29770109218099e-07
-enkephalin,1978-3,335,1413,8.338677330792786e-07
-flanking,1978-12,347,8601,5.103216172320719e-06
-immunoreactive,1979-2,298,982,5.833893408883623e-07
-kappab,1996-3,155,1262,1.100892614810802e-06
-monomethyl-l-arginine,1994-5,162,1066,8.568276396469543e-07
-nitro-l-arginine,1992-12,174,4172,3.1795205756699116e-06
-pcr,1991-3,200,1636,1.1794444659402283e-06
-race,1992-5,177,700,5.230974395563281e-07
-tetraacetic,1972-3,414,2707,1.559995652666123e-06
-untranslated,1977-7,343,6268,3.6832529356040073e-06
-utr,1987-9,232,4427,2.9308807855329335e-06
1-14c,1975-1,382,5348,3.0872888147533167e-06
1-cm,1975-1,339,1365,7.87986019472378e-07
1-h,1973-3,410,4633,2.6713954613965566e-06
1-methyl-4-phenyl-1,1983-2,308,2080,1.2811076425142221e-06
1-methyl-4-phenylpyridinium,1984-7,274,845,5.306485262623777e-07
10-mg,1975-2,338,1301,7.514203202789863e-07
111in,1975-1,353,2388,1.378542574725303e-06
11c,1975-1,338,5988,3.4567474612458606e-06
12-h,1974-2,375,3095,1.7855279755744387e-06
12-lipoxygenase,1981-2,284,1260,7.609288225494473e-07
12-myristate,1979-5,336,7844,4.668955762901265e-06
12-o-tetradecanoylphorbol,1977-9,339,1511,8.888116642988767e-07
12-o-tetradecanoylphorbol-13-acetate,1975-6,378,4489,2.5981300043505744e-06
123i,1975-1,346,3381,1.95178075592389e-06
125i-labeled,1975-1,395,9022,5.208212357274574e-06
13-acetate,1978-12,364,9801,5.8152100575416075e-06
13-dibutyrate,1980-1,336,2169,1.2978686758431706e-06
13c-nmr,1975-12,356,1661,9.647040522406492e-07
13th,1970-7,409,1747,1.0059747147385947e-06
14c-labelled,1975-1,364,1500,8.65918702716899e-07
14co2,1975-1,395,3999,2.3085392614432524e-06
15n,1975-3,407,7319,4.22936517794405e-06
17-kda,1983-4,270,961,5.930897912368864e-07
18f,1975-2,365,6790,3.921709434815002e-06
1950s,1975-1,385,3052,1.761855920461317e-06
1960s,1975-1,400,4539,2.620269994421336e-06
1970s,1975-2,387,6462,3.7322660335455876e-06
1980s,1976-8,349,8428,4.9186226058033264e-06
19f,1974-5,367,2844,1.640999170097559e-06
1h-,1976-4,326,1857,1.0811302552071543e-06
1h-nmr,1975-1,372,3446,1.989303899708289e-06
2-amino-1-methyl-6-phenylimidazo,1987-11,220,589,3.912051656355996e-07
2-aminoethoxydiphenyl,1999-11,99,283,3.0825663065104756e-07
2-aminophenoxy,1986-12,230,700,4.5711050640615233e-07
2-d,1974-3,373,9523,5.494209568129673e-06
2-dimensional,1975-2,384,3572,2.0630848455315443e-06
2-dimethylhydrazine,1974-2,359,893,5.151781848749512e-07
2-h,1973-6,416,7215,4.160763550940385e-06
2-hour,1971-10,399,3339,1.923763814277016e-06
2-kb,1977-10,329,2278,1.3407127686497792e-06
20-kda,1982-2,293,1446,8.81388019752359e-07
201tl,1975-2,342,4914,2.838185590969207e-06
21-day,1971-1,402,2640,1.5205292809452509e-06
24-h,1973-1,433,26878,1.549642440128423e-05
24-month,1975-3,343,2154,1.2447127467265317e-06
