word,first appearance,term freqency,num months
-1beta,2009-12,52507,194
-beta1,2009-12,33469,206
-flanking,2009-12,9007,349
-kappab,2009-12,76774,175
-tetraacetic,2009-12,3059,423
//www,2009-12,5642,161
1-14c,2009-12,5938,386
1-h,2009-12,25340,480
1-methyl-4-phenyl-1,2009-12,2088,308
10-year-old,2009-12,3150,407
12-myristate,2009-12,9387,352
12-o-tetradecanoylphorbol-13-acetate,2009-12,4771,379
125i-labeled,2009-12,9097,395
13-acetate,2009-12,18656,401
13-dibutyrate,2009-12,2232,336
13-year-old,2009-12,2784,405
14co2,2009-12,4111,396
15n,2009-12,13697,413
16-year-old,2009-12,2840,405
19-year-old,2009-12,2619,409
1950s,2009-12,3200,386
1960s,2009-12,4816,404
1970s,2009-12,6986,388
1971,2009-12,9527,464
1972,2009-12,10687,450
1973,2009-12,12324,443
1974,2009-12,14467,432
1976,2009-12,15983,415
1977,2009-12,16147,405
1979,2009-12,19629,378
1981,2009-12,23659,359
1994-1995,2009-12,714,165
1994-1996,2009-12,543,147
1997-1999,2009-12,516,118
2-dimensional,2009-12,3637,384
2-h,2009-12,54439,539
23390,2009-12,6085,309
24-h,2009-12,55670,515
24-year-old,2009-12,2435,399
247,2009-12,10256,436
25-dihydroxyvitamin,2009-12,10126,422
25-hydroxyvitamin,2009-12,4903,420
25-year-old,2009-12,2395,405
28-year-old,2009-12,2287,399
2d3,2009-12,19332,411
3-h,2009-12,45235,515
3-kinase,2009-12,25299,268
30-year-old,2009-12,2764,396
31p,2009-12,10677,410
32-year-old,2009-12,2455,394
38-year-old,2009-12,2327,390
4-aminopyridine,2009-12,4596,395
4-h,2009-12,98465,552
40-kda,2009-12,2535,310
48-h,2009-12,7080,449
48-year-old,2009-12,2332,394
4e-bp1,2009-12,1836,156
5-bisphosphate,2009-12,4621,381
5-ht1a,2009-12,11313,298
5-ht2,2009-12,14088,337
5-ht2c,2009-12,2137,190
5-ht3,2009-12,6644,278
5-lipoxygenase,2009-12,6434,327
5-trisphosphate,2009-12,6936,312
50-kda,2009-12,2733,314
51-year-old,2009-12,2198,392
51cr,2009-12,8483,407
54-year-old,2009-12,2555,386
55-year-old,2009-12,2635,391
58-year-old,2009-12,2437,387
6-bisphosphate,2009-12,3338,414
6-cyano-7-nitroquinoxaline-2,2009-12,1265,237
6-h,2009-12,24894,498
6-week,2009-12,10207,430
60-year-old,2009-12,2983,394
62-year-old,2009-12,2645,394
63-year-old,2009-12,2479,390
6b,2009-12,19923,454
7-nitroindazole,2009-12,1029,178
99mtc,2009-12,26067,417
<70,2009-12,1336,160
a23187,2009-12,18103,422
a431,2009-12,4026,334
abacavir,2009-12,1436,131
ablative,2009-12,9107,397
abr,2009-12,133315,578
aca,2009-12,266684,589
acad,2009-12,54258,461
acetabular,2009-12,12281,416
acetaminophen,2009-12,13634,415
achr,2009-12,45259,512
acta,2009-12,335875,598
acupuncture,2009-12,16490,411
acyclovir,2009-12,9557,358
adcc,2009-12,6097,401
addresses,2009-12,14480,400
adoptively,2009-12,2482,403
adrenomedullin,2009-12,4828,194
adriamycin,2009-12,16420,424
affymetrix,2009-12,3323,116
afp,2009-12,23237,421
age-related,2009-12,40133,427
aggrecan,2009-12,5698,222
aids-related,2009-12,3949,307
aii,2009-12,33823,449
aiming,2009-12,8813,417
aims/hypothesis,2009-12,2372,125
alendronate,2009-12,5228,203
alfentanil,2009-12,5050,316
algorithm,2009-12,94348,428
alloreactive,2009-12,3649,384
alpha-1-antitrypsin,2009-12,1854,392
alpha-actinin,2009-12,4855,380
alpha-bungarotoxin,2009-12,3473,434
alpha-subunit,2009-12,13703,397
alpha6,2009-12,4493,173
alphab-crystallin,2009-12,1819,151
alphaiibbeta3,2009-12,1539,156
alphavbeta3,2009-12,2779,164
amastigotes,2009-12,3337,382
amenorrhoea,2009-12,2084,395
amikacin,2009-12,8135,419
aml,2009-12,59358,431
amniocentesis,2009-12,6458,421
ampa/kainate,2009-12,1027,207
amplatzer,2009-12,1284,138
amplicor,2009-12,2269,184
amylin,2009-12,3706,234
anaesthetised,2009-12,4088,409
anandamide,2009-12,5577,191
anchor,2009-12,47449,429
anchorage,2009-12,9550,415
angiographically,2009-12,7674,422
angioplasty,2009-12,42422,390
angiotensin-converting,2009-12,15056,400
annexin,2009-12,17004,252
