word,num months,term frequency
-cyclic,474,8086
-dependent,465,28664
-induced,450,42219
-monophosphate,472,6674
-phosphate,456,6148
-terminal,456,7037
-triphosphate,446,5885
000-fold,453,4834
10-fold,467,26156
100-fold,463,11439
16s,450,29285
1h,449,23290
2-deoxy-d-glucose,441,2497
2-fold,450,26052
2-mercaptoethanol,448,3258
20-fold,458,8949
24-hr,442,4540
3-fold,452,23411
3-phosphate,449,2918
30s,461,3552
3h,445,167871
3t3,465,17328
4-dinitrophenol,446,1861
4b,445,7154
4s,455,4125
5-fold,455,28416
5-ht,464,88252
5-hydroxytryptamine,475,12929
5s,465,9022
6-hydroxydopamine,459,6776
6-phosphate,467,7207
7s,440,2899
ab,445,46582
abdominal,465,150314
aberrant,451,31961
abnormal,478,196085
abnormalities,476,195967
abnormality,473,50385
abnormally,468,15038
abolish,459,8951
abolishes,456,7171
abortion,445,27716
abrupt,458,10754
abruptly,448,4743
absorbance,452,16755
absorbed,476,30579
abundance,446,46317
abundant,467,55918
accelerated,474,48062
acceleration,460,23286
acceptable,460,52406
accepted,462,48869
acceptor,474,25921
acceptors,456,7696
access,457,99249
accessible,457,24626
accompany,447,7190
accompanying,472,21284
accomplished,467,31602
accord,453,6341
accordingly,452,28943
accounting,461,23297
accounts,471,27895
accumulate,477,27113
accumulated,479,47297
accumulates,465,11126
accumulating,445,12172
accuracy,473,151394
accurate,475,125095
accurately,463,51236
acetaldehyde,446,8911
acetic,466,19299
acetone,457,12870
acetyl,466,10064
acetyl-coa,460,7501
acetylated,446,7951
acetylation,453,14924
acetylcholinesterase,462,14625
acetyltransferase,447,15317
ach,466,40269
achieve,461,81218
achieved,479,235425
acid-soluble,446,2399
acidic,476,63726
acidification,445,13869
acidosis,458,26647
acquired,471,94215
acquisition,458,60594
acridine,455,5218
acrylamide,470,7225
act,479,113491
acted,464,14208
acth,458,51334
actin,448,92209
acting,471,49404
actinomycin,478,11180
actions,479,90269
activate,461,67326
activated,479,250105
activates,451,39002
activating,454,47246
activator,467,74310
actively,473,27986
acts,479,62242
actual,468,56565
acutely,455,24333
acyl,467,19603
ad,452,118908
adaptation,478,62202
adapted,470,32558
adapting,445,6498
adaptive,450,45969
adding,473,34021
additionally,452,75611
additions,451,6130
additive,467,39939
adenovirus,473,30259
adenylate,461,33958
adequate,478,101776
adequately,456,25971
adh,447,11110
adherence,448,58892
adipose,467,49538
adjacent,479,94802
adjusted,452,80791
adjuvant,463,67938
admitted,445,85348
adp,479,40635
adrenal,476,82480
adrenalectomized,449,5307
adrenalectomy,449,10698
adrenaline,478,17085
adrenergic,475,26748
adsorb,445,3050
adsorbed,473,24498
adsorption,478,63184
adults,471,217160
advanced,465,150692
advantage,468,66572
advantages,474,75208
adverse,454,177077
aerobic,479,43034
aerobically,455,2859
aerogenes,441,2025
aerosol,460,19284
aerosols,453,6230
aeruginosa,475,46919
affecting,477,89023
affects,477,75395
afferent,474,37879
afferents,452,23992
affinities,457,25701
afforded,449,15023
african,471,50458
agarose,465,18252
aged,465,212509
ages,473,86105
agglutinated,438,2042
agglutination,469,13411
agglutinin,453,12084
aggregate,464,19779
aggregated,461,12881
aggregates,472,39371
aggregation,477,91315
aging,452,72794
agonist,453,120721
agonists,454,80675
agree,459,15193
agreed,457,22613
agrees,444,5175
aid,470,52427
air,479,123910
al,467,119249
alanine,479,40816
albicans,461,29536
albino,444,10629
albumin,479,108584
alcohol,479,180020
alcoholic,457,25903
alcohols,460,12805
aldehyde,459,14511
aldolase,459,5541
aldosterone,458,34630
aliphatic,447,9434
alkali,471,8133
alkylation,448,8373
allele,466,107989
alleles,472,79167
allelic,451,25221
allergic,446,65276
allogeneic,451,42746
allosteric,451,14137
allow,477,117225
allowing,464,58147
allows,478,127880
alpha-,466,23731
