word,num months,term frequency
-activated,412,6309
-adenosine,421,1495
-c,424,7544
-deoxyuridine,427,4030
-dependent,465,28664
-diphosphate,423,2091
-end,425,6162
-infected,421,4633
-monophosphate,472,6674
-nitro-n-nitrosoguanidine,437,2051
-phosphate,456,6148
-stimulated,436,7560
-triphosphate,446,5885
000-fold,453,4834
1-phosphate,424,3159
1-year,412,21473
10-year,426,16333
100-fold,463,11439
10th,431,8035
12-dimethylbenz,430,2702
12-fold,417,3093
125i,419,29815
12th,427,4958
133xe,332,1657
13c,416,16273
14-day,416,4362
14c-labeled,391,2764
15th,420,3259
16th,417,2196
18s,443,5490
1a,435,27957
1h,449,23290
1st,442,18054
2-3h,343,1723
2-chloroethyl,414,3039
2-nitrobenzoic,384,1224
2-oxoglutarate,436,2631
2-week,421,8289
2-year,426,19008
20-fold,458,8949
20th,429,6116
24-hour,433,21235
24-hr,442,4540
28s,433,2568
2a,436,30287
2h,440,8838
2s,415,6915
3-day,416,6038
3-month,415,10154
32p-labeled,370,3213
35s,436,18476
3rd,439,14208
4-fold,443,19051
4-week,418,8071
4-year,410,7586
4b,445,7154
4th,436,10532
5-fu,415,28847
5-ht,464,88252
5-hydroxyindoleacetic,426,3068
5-hydroxytryptophan,414,1635
5-min,409,4602
50-fold,440,4552
500-fold,411,1585
5s,465,9022
6-fold,438,12934
6-phosphogluconate,399,1406
7-day,431,7803
7-fold,428,10450
70s,427,1955
7s,440,2899
8th,430,4693
9th,416,3347
a-,429,6388
a1,429,31939
aa,430,69634
ab,445,46582
abandoned,424,4551
aberration,427,8841
abilities,443,27502
abnormal,478,196085
abnormalities,476,195967
abnormally,468,15038
abo,426,5146
abolishes,456,7171
abolition,437,2865
aborted,425,4654
abortions,434,9715
abortus,432,4619
abruptly,448,4743
abscess,439,32002
absolutely,439,7416
absorb,436,3418
absorbable,407,3460
abstract,414,110066
abuse,435,70646
ac,432,33437
accelerated,474,48062
accelerating,428,6237
acceptability,420,9743
acceptance,441,24590
accepted,462,48869
accessory,434,31213
accident,427,22570
accidents,425,20096
accommodate,425,8066
accomplish,424,5943
accomplished,467,31602
accord,453,6341
accordance,440,23033
accordingly,452,28943
accumulating,445,12172
accuracy,473,151394
accurately,463,51236
acetazolamide,438,5801
acetoacetate,432,2509
acetonitrile,409,13382
acetyl,466,10064
acetyl-coa,460,7501
acetylated,446,7951
acetylsalicylic,429,4895
ach,466,40269
ache,419,20128
achievement,427,14535
achieves,408,5648
acid-base,442,9363
acidic,476,63726
acidification,445,13869
acidified,437,4366
acidotic,392,1585
acinar,439,15254
acinetobacter,433,6724
acknowledged,410,5046
acoustic,435,35210
acquire,442,15377
acquired,471,94215
acquiring,418,6809
acridine,455,5218
actin,448,92209
acting,471,49404
activates,451,39002
actively,473,27986
acuity,431,49240
acyl,467,19603
acylation,443,5487
ad,452,118908
adaptable,421,2441
adaptation,478,62202
adapted,470,32558
adaptive,450,45969
add,440,18588
addiction,420,12452
additionally,452,75611
additions,451,6130
additive,467,39939
additives,437,8139
address,416,62680
adduct,421,23343
adenocarcinoma,435,65685
adenoid,407,4384
adenoma,437,30182
adenomatous,429,10166
adenovirus,473,30259
adequacy,431,11548
adequately,456,25971
adh,447,11110
adhere,436,9838
adhered,433,8490
adherence,448,58892
adhesion,438,157722
adhesions,424,16461
adhesiveness,426,3326
adipocytes,435,24492
adjunct,440,17537
adjusted,452,80791
adjusting,428,29885
adjuvant,463,67938
adjuvants,410,6172
administering,435,10386
administrations,420,6684
admission,435,91551
admixture,424,5198
adolescence,425,15868
adopted,439,26679
adoption,427,11161
adrenalectomy,449,10698
adrenocorticotropin,408,2148
adsorbent,409,5056
adulthood,432,24693
adults,471,217160
advance,439,21392
advancement,427,10351
advances,434,62623
advantages,474,75208
advent,425,9734
advised,429,7775
aerobic,479,43034
aeromonas,423,5446
aerosol,460,19284
aerosolized,411,4417
aetiological,430,6629
af,423,42476
affecting,477,89023
affects,477,75395
afferent,474,37879
afferents,452,23992
affinities,457,25701
afflicted,414,3136
afforded,449,15023
affords,438,6531
aflatoxin,444,9196
afterload,423,5693
agarose,465,18252
age-,427,19267
age-dependent,428,8980
age-matched,437,34771
ageing,431,14834
agency,420,12832
agglutinate,400,1131
agglutinating,379,1292
aggregate,464,19779
aggregated,461,12881
aggregates,472,39371
aggregating,435,3241
aggregation,477,91315
aggression,427,18189
aging,452,72794
agitation,435,7560
ago,440,25115
agonistic,411,5693
agreed,457,22613
agricultural,433,14261
ah,425,12196
ahead,414,3447
ai,415,22286
aid,470,52427
aided,430,5913
aids,429,85652
aim,438,310744
airflow,422,10086
airway,439,117471
akr,438,4594
albicans,461,29536
albino,444,10629
albumin,479,108584
alcaligenes,411,1953
alcian,421,3196
alcoholics,426,12857
alcohols,460,12805
aldehyde,459,14511
aldosterone,458,34630
alert,432,9630
algae,433,8151
aligned,427,12861
alignment,439,31589
alike,414,3475
aliphatic,447,9434
alive,430,28714
alkali,471,8133
alkalosis,436,4273
alkyl,443,16198
alkylated,437,3175
alkylating,436,9686
alkylation,448,8373
allele,466,107989
alleles,472,79167
allergenic,410,4318
allergens,420,21663
allergy,427,30895
alleviated,422,5277
alloantigens,420,3404
allocation,422,13915
allogenic,413,3433
allopurinol,425,6362
allosteric,451,14137
allotype,379,1947
allow,477,117225
allowance,426,3023
allowing,464,58147
alloxan,417,3565
alpha-,466,23731
alpha-1,409,6532
alpha-adrenergic,433,7134
alpha-adrenoceptor,435,3167
alpha-ketoglutarate,444,3293
alpha-methyl-p-tyrosine,376,1146
als,409,19860
altering,460,26026
alternating,453,15770
alternation,419,4499
alternative,474,182211
alters,455,21784
altitude,430,11921
aluminium,416,8017
aluminum,437,16470
alveolar,464,70507
alveoli,433,4835
ambiguity,411,3922
ambiguous,422,7653
ameliorated,415,8189
amelioration,413,5221
amenable,434,10613
america,442,22251
american,466,87609
ames,412,4133
amine,464,21983
aminoglycosides,424,6206
aminopyrine,395,2922
amitriptyline,424,6255
ammonia,472,27237
amnesia,430,6910
amnion,412,4328
amniotic,441,25971
amorphous,440,13775
amounted,440,6837
amphetamine,457,15077
ampicillin,469,16316
ample,410,2904
amplitudes,450,25812
amyloid,435,41244
anaerobes,448,5018
anaerobically,461,3355
anaesthesia,464,47170
anaesthetic,451,17190
anal,429,27513
analogue,475,57564
analogues,477,56556
analogy,443,6361
analyse,429,23820
analysed,472,124473
analysing,430,9547
