word,time origin,end point
&agr,1998-7,2001-4
&bgr,1998-6,2001-4
&phi,1998-9,2001-10
-cp-96,1991-4,1996-4
-dmnq,1997-12,2001-10
-p-adenosine,1992-4,1997-7
0-kilobase-pair,1982-12,1990-6
1-agp,1980-10,1998-8
101-tyr,1985-2,1988-7
111in-dtpa-igg,1993-11,1998-2
125i-il,1985-12,1988-10
125i-lpl,1989-3,1995-10
125i-rep,1987-8,1990-2
1c-adrenoceptor,1992-12,1995-9
2-c10,1990-1,1996-2
2-c4,1990-1,1996-2
2-di-n-propylamino-5,1981-7,1987-7
2h4+,1985-6,1994-3
311c90,1994-6,1998-12
348u87,1991-6,1994-4
3fe-3s,1980-3,1985-12
3h-l-arginine,1992-6,2001-7
4-acetyl-3-methoxy-2-propylphenoxy,1989-6,1995-5
4-riba,1991-2,1994-7
450191-s,1984-1,1987-10
5-c5me5,2000-4,2003-1
50-microns,1987-1,1998-5
557a,1985-3,1991-5
6-dichlorobenzene,1995-4,2002-8
6-oxo-pge1,1981-7,1987-9
6-p4,1987-10,1990-7
6059-s,1979-10,1982-1
65kdbp,1988-3,1991-2
99tcm-hmpao,1987-7,2000-8
99tcm-sestamibi,1991-10,2001-5
99tcm-tetrofosmin,1995-8,2001-6
@www,1994-9,2000-3
a-81988,1993-5,1996-3
a-crybp1,1990-7,1995-1
a-eat,1993-12,1996-4
a1110u,1989-2,1993-3
a63162,1990-7,1996-11
accolate,1996-10,2003-3
acculevel,1987-6,1991-9
activitrax,1985-9,1995-1
ag-1749,1989-2,1992-1
allergina,2001-11,2004-6
am-1155,1992-10,1999-8
anf-infused,1985-7,1990-1
anti-atla,1982-6,1991-5
anti-cp9,1990-8,1994-3
anti-tcr-alpha,1989-6,1998-6
apg12p,1998-12,2004-9
apg7p,1998-12,2003-10
apo-1-mediated,1992-11,1998-3
ari-509,1997-8,2000-4
as-4370,1990-6,1993-10
asl-7022,1982-10,1985-3
at-4140,1989-4,1992-11
at1-selective,1992-3,2000-3
atp-responses,1996-3,1999-11
au-1421,1990-3,1993-3
azmacort,1996-9,2001-11
b*4801,1997-4,2002-7
b-inhibin,1992-6,1995-1
b151-trf1,1986-7,1989-10
b151-trf2,1986-7,1989-12
b2036,1999-5,2003-11
b759u,1985-4,1989-3
baf-b03,1991-2,2004-5
bb3+,1988-7,1994-12
beta-hydroxy-5-ene-steroid,1986-10,1994-9
bgdf,1982-10,1986-12
bl-s786,1976-9,1979-2
bogden,1985-8,1990-3
boots-celltech,1985-11,1990-6
bot8,1986-7,1990-1
bp-53,1987-9,1990-11
bpm2,1994-9,2000-6
bstnbi,2000-6,2003-9
bw51,1978-10,1984-10
caltropin,1992-12,1995-8
cd-349,1987-10,1994-3
cd3-ti,1986-1,1992-7
cd71lo,1992-6,1995-5
cereport,1998-8,2004-9
cgp57148b,1997-11,2003-5
cha0-rif,2000-4,2003-2
cholecalcin,1985-4,1988-1
ci-934,1985-12,1990-9
ci-973,1991-2,1996-3
cimoxatone,1983-1,1989-8
circresaha,2000-2,2004-1
cp-060s,1996-9,2002-3
cpcr-aa,1984-10,1987-4
crossflex,1999-2,2003-5
csf-alpha,1982-7,1985-9
cyp2a-5,1992-8,1996-5
cyp2d6b,1992-1,1999-10
d-ala10,1981-9,1999-10
d-cit6,1988-3,1996-8
d0870,1993-5,2000-7
d15s63,1992-11,2001-7
