word,time origin,end point,1976-1,1976-10,1976-11,1976-12,1976-2,1976-3,1976-4,1976-5,1976-6,1976-7,1976-8,1976-9,1977-1,1977-10,1977-11,1977-12,1977-2,1977-3,1977-4,1977-5,1977-6,1977-7,1977-8,1977-9,1978-1,1978-10,1978-11,1978-12,1978-2,1978-3,1978-4,1978-5,1978-6,1978-7,1978-8,1978-9,1979-1,1979-10,1979-11,1979-12,1979-2,1979-3,1979-4,1979-5,1979-6,1979-7,1979-8,1979-9,1980-1,1980-10,1980-11,1980-12,1980-2,1980-3,1980-4,1980-5,1980-6,1980-7,1980-8,1980-9,1981-1,1981-10,1981-11,1981-12,1981-2,1981-3,1981-4,1981-5,1981-6,1981-7,1981-8,1981-9,1982-1,1982-10,1982-11,1982-12,1982-2,1982-3,1982-4,1982-5,1982-6,1982-7,1982-8,1982-9,1983-1,1983-10,1983-11,1983-12,1983-2,1983-3,1983-4,1983-5,1983-6,1983-7,1983-8,1983-9,1984-1,1984-10,1984-11,1984-12,1984-2,1984-3,1984-4,1984-5,1984-6,1984-7,1984-8,1984-9,1985-1,1985-10,1985-11,1985-12,1985-2,1985-3,1985-4,1985-5,1985-6,1985-7,1985-8,1985-9,1986-1,1986-10,1986-11,1986-12,1986-2,1986-3,1986-4,1986-5,1986-6,1986-7,1986-8,1986-9,1987-1,1987-10,1987-11,1987-12,1987-2,1987-3,1987-4,1987-5,1987-6,1987-7,1987-8,1987-9,1988-1,1988-10,1988-11,1988-12,1988-2,1988-3,1988-4,1988-5,1988-6,1988-7,1988-8,1988-9,1989-1,1989-10,1989-11,1989-12,1989-2,1989-3,1989-4,1989-5,1989-6,1989-7,1989-8,1989-9,1990-1,1990-10,1990-11,1990-12,1990-2,1990-3,1990-4,1990-5,1990-6,1990-7,1990-8,1990-9,1991-1,1991-10,1991-11,1991-12,1991-2,1991-3,1991-4,1991-5,1991-6,1991-7,1991-8,1991-9,1992-1,1992-10,1992-11,1992-12,1992-2,1992-3,1992-4,1992-5,1992-6,1992-7,1992-8,1992-9,1993-1,1993-10,1993-11,1993-12,1993-2,1993-3,1993-4,1993-5,1993-6,1993-7,1993-8,1993-9,1994-1,1994-10,1994-11,1994-12,1994-2,1994-3,1994-4,1994-5,1994-6,1994-7,1994-8,1994-9,1995-1,1995-10,1995-11,1995-12,1995-2,1995-3,1995-4,1995-5,1995-6,1995-7,1995-8,1995-9,1996-1,1996-10,1996-11,1996-12,1996-2,1996-3,1996-4,1996-5,1996-6,1996-7,1996-8,1996-9,1997-1,1997-10,1997-11,1997-12,1997-2,1997-3,1997-4,1997-5,1997-6,1997-7,1997-8,1997-9,1998-1,1998-10,1998-11,1998-12,1998-2,1998-3,1998-4,1998-5,1998-6,1998-7,1998-8,1998-9,1999-1,1999-10,1999-11,1999-12,1999-2,1999-3,1999-4,1999-5,1999-6,1999-7,1999-8,1999-9,2000-1,2000-10,2000-11,2000-12,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2001-1,2001-10,2001-11,2001-12,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2002-1,2002-10,2002-11,2002-12,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2003-1,2003-10,2003-11,2003-12,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2004-1,2004-10,2004-11,2004-12,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2005-1,2005-10,2005-11,2005-12,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2006-1,2006-10,2006-11,2006-12,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2007-1,2007-10,2007-11,2007-12,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2008-1,2008-10,2008-11,2008-12,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2009-1,2009-10,2009-11,2009-12,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9
115d8,1985-11,2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7205617023,,,,,,,1.75636770161,,,,,,,,,,,,,,1.78246016525,,,,,1.76251659473,,,,,,,1.86408642108,,,,,,,,,,,,,,,,,1.86986602103,,,1.88379133799,,,,,,,,,,,,1.91596086423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00836843611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12302729197,,,,,,,,,,,,2.15800976576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170hp,1977-5,2001-10,,,,,,,,,,,,,,,,,,,,1.44727551919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68684724794,,1.70444330952,,,,,,,,,1.66897926965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76227853809,,,,,,,,,,,,,,,,,,,,,,,,1.89325832582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92140849198,,,,,,,,,,,,,,2.00086538425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11937840757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f5,1990-7,1998-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85535962592,,,,,,,,,1.90022873216,,,,,,,,,,1.93642142392,1.93091145653,,,,,,1.96797718541,,,,,,,1.98385707241,,1.99011506181,,1.97172673806,,,,,,,,,,,,,,,,,,,,,,,,2.02840991014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09557873749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3,1981-4,1999-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5506894578,,1.59525751246,,,,,,,,,,1.67754430521,,1.70343129017,,,,,1.66894701912,,,,,,,,,1.68812353684,1.69826459066,,,,,,1.69324895296,,,,1.69108690384,,,,,,1.70221855564,,1.7055246008,,,,,,,1.70904604786,,,,,,,,,1.75384362785,,,,,,,,,,,,,1.7865610664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95699769136,,1.91559258193,,,,,,,,,,,,,1.97387257918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10506406344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6kpgf1,1981-3,1999-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59372032115,,,,,,,,,,,,,,,,,,,,,,,,1.74856470339,,,,,,,,,1.69772564121,,,1.76105259394,,,1.70432386581,,,1.68629535035,1.6984429688,,,,,1.78278976924,1.74041720669,,,1.70718185865,,,,,,,,,,,,,1.79232599961,,,,1.75461248604,,,1.84909608118,,1.78108776816,,1.76776529259,1.80781162333,,,,1.83919554756,1.8837011798,,,1.86933685647,,,,,,,,,,,,1.89192822411,1.91085736465,,,,,,1.89793958417,,,,,,,,,,,,,,,,,,,,1.93346518129,,1.92530908726,1.92933575352,,,1.99455469838,,,,,,,,,,,1.9840191066,,,,1.99267669761,,,,,,,,,,,,,,,,,1.9916102793,,,,2.09320037439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07643465285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73005ef,1989-12,2004-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91850338667,,,,,,,,,,,,1.9292068636,1.88064379746,,,,,,,,,,,,,,1.91294410934,,,,1.90184997094,,,,1.95611613599,,,,,,,,1.94654124027,,,,,,,,1.98795579059,,,,,,,,,,,,,1.98927542018,,,2.01262651929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0817179748,,,,,2.09731807006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78k,1980-7,2000-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56266189836,,,,1.53355303705,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67820845403,,,,,,1.70932732933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76428659423,1.75304334132,,,,,,,,,,,,1.85542619356,,,,,,,,,,,,,,,,,,,,,,,,,,1.90023461909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15046700677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82k,1979-10,2002-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55393520407,,,,1.65633205613,,,,,,,,,,,1.72475282511,1.68897011334,1.74816407949,,,,,,,,,,,,,,,,1.70137745256,,,,,,,,,,,,,,,,,,,,,,,,,1.80046648953,1.73432152778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23958159954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acchr,1976-10,2002-10,,1.47398753769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43827180921,,,,,,1.54451628218,,,,1.45940132138,,,,,,,,,,,,,,,,,,,,,,,1.5290323686,,,,1.55326417362,,,,,,,,,,,1.61831331308,,,1.63465345192,1.67522583663,,,,1.73450702197,,,1.6802126989,,,,,,,,,1.76975501472,1.69898551575,,,,1.71646124668,,,,,1.74573785475,,,1.74054499614,,,,,,,,,1.77157689989,,,,,1.76538044376,,,1.72230983631,,,,,,,,,,,,,,,,,1.88900041664,1.91526786131,,,,,1.9089498575,,,1.89146684737,1.86554260439,,,1.93046782073,1.90093360115,,,1.871322266,,,,,,,,,1.90708063584,,,,,1.88988303386,,,,,,1.9571562908,,,,,,,,,,,,2.02088308829,,,,,1.96836772863,,,,1.98003532228,,,,,,2.00333690799,,,,,,,,,,2.02266005556,,,,,,,,,,,,,,,,,,,,,,2.06075052997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2024025572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activitrax,1985-9,1995-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71928067058,,1.74250731673,,,,,,1.73007975022,,1.73289548734,,,,,,,,,,1.7740136435,,,1.80999258309,1.76522755426,,1.78435901371,,,,,1.75958565543,,1.79630474341,,,,1.91429590602,,,1.88931607916,,,1.85332611747,1.85894360682,1.88842820482,1.87759375439,,1.88477579096,1.93813378437,,,,,,,,1.9090506053,,,,,,,,,,,1.91616668011,,,,,,,,,1.92873877553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
